
============================== SIGNAL 1 FINAL OUTPUT ==============================
Idx  | Hex(Real)  | Real (Float) | Hex(Imag)  | Imag (Float)
157  | c0804e4f   | -4.00956     | c048d1a3   | -3.13780    
158  | 3fc5f47f   | 1.54652      | c09ea212   | -4.95728    
159  | bf89134d   | -1.07090     | c080151a   | -4.00258    
160  | c0140095   | -2.31254     | c0e4bc31   | -7.14797    
161  | 406685a8   | 3.60191      | bfe4dcf9   | -1.78799    
162  | c01a5d7b   | -2.41196     | 3ffdf14a   | 1.98393     
163  | 40dca3f2   | 6.89501      | c0dc3021   | -6.88088    
164  | c0288480   | -2.63309     | 4066fc7a   | 3.60916     
165  | 3f52df4c   | 0.82372      | 402ad068   | 2.66897     
166  | c01d03f4   | -2.45337     | 3fa06631   | 1.25312     
167  | 3f035104   | 0.51295      | 3d80e5a6   | 0.06294     
168  | c0814b94   | -4.04048     | bf89985e   | -1.07496    
169  | c0ec3971   | -7.38201     | 411503dd   | 9.31344     
170  | c027ad3f   | -2.61995     | 40b8ea33   | 5.77859     
171  | 40b8a7e2   | 5.77049      | 3c6abba5   | 0.01433     
172  | 4112531b   | 9.14529      | 40d8adc5   | 6.77121     
173  | c0153014   | -2.33106     | c0bda2a5   | -5.92610    
174  | bf2bdb38   | -0.67131     | c0981b7d   | -4.75336    
175  | 40119cef   | 2.27520      | c090a145   | -4.51969    
176  | 3f853fc2   | 1.04101      | c00304c3   | -2.04717    
177  | 4008a5e7   | 2.13513      | 408da486   | 4.42633     
178  | 4138f6d3   | 11.56026     | c0fae5c9   | -7.84055    
179  | be8ace06   | -0.27110     | c008770e   | -2.13227    
180  | bfcfb0e1   | -1.62259     | 3fb7c797   | 1.43578     
181  | c0ed431d   | -7.41444     | 4153c67b   | 13.23596    
182  | bfbb3b81   | -1.46275     | bffcbaf6   | -1.97446    
183  | bf49b2dd   | -0.78789     | c10ffc3d   | -8.99908    
184  | 404a9b76   | 3.16574      | 404e1b9c   | 3.22044     
185  | c0217ab2   | -2.52311     | bfcc6859   | -1.59693    
186  | 400f86a9   | 2.24259      | 411db206   | 9.85596     
187  | c0470d51   | -3.11019     | 401c706f   | 2.44436     
188  | 40419b83   | 3.02512      | 40ac8399   | 5.39106     
189  | bf597606   | -0.84946     | 3ea7fbac   | 0.32809     
190  | 40fc1f2f   | 7.87881      | 4067c9f6   | 3.62170     
191  | 4067a494   | 3.61942      | c0df1f56   | -6.97258    
192  | 3fc25f3b   | 1.51853      | 40138603   | 2.30505     
193  | 40e137c5   | 7.03806      | bf8f9b87   | -1.12193    
194  | c1438023   | -12.21878    | 3f606b68   | 0.87664     
195  | c031867a   | -2.77383     | 40160bc1   | 2.34447     
196  | bfffde54   | -1.99897     | 3f9c492d   | 1.22098     
197  | 3f8fd385   | 1.12364      | 3fbdbb5a   | 1.48228     
198  | 40aaf787   | 5.34272      | 40cc8593   | 6.39131     
199  | c0140bc6   | -2.31322     | 3f473f95   | 0.77831     
200  | 3fd2e238   | 1.64753      | 40a24ee5   | 5.07213     
201  | c00d98c9   | -2.21245     | c0e859ac   | -7.26095    
202  | bf882745   | -1.06370     | c05350aa   | -3.30180    
203  | 40ce5435   | 6.44778      | bfaaa009   | -1.33301    
204  | 3fdc7f09   | 1.72263      | c109d66e   | -8.61485    
205  | 407e276c   | 3.97116      | 408a4859   | 4.32133     
206  | bf370204   | -0.71487     | bfda7509   | -1.70670    
207  | c0240abb   | -2.56315     | c03d84a3   | -2.96122    
208  | c08ce659   | -4.40312     | bfd7309d   | -1.68117    
209  | c07b3e96   | -3.92569     | 405e9cbb   | 3.47832     
210  | c0063e99   | -2.09757     | c0e644b8   | -7.19589    
211  | 400f1153   | 2.23543      | c0c012b6   | -6.00228    
212  | 40b72e6c   | 5.72442      | c0376b1b   | -2.86591    
213  | 3f1140fb   | 0.56740      | 40cac12c   | 6.33608     
214  | 40790a24   | 3.89124      | c0176b82   | -2.36594    
215  | bf9707b8   | -1.17992     | 3f21d825   | 0.63220     
216  | be366117   | -0.17810     | c08e9869   | -4.45610    
217  | c0563c38   | -3.34743     | bfbb4096   | -1.46291    
218  | c0b8d8f7   | -5.77648     | 4044b7e7   | 3.07372     
219  | 40a4b069   | 5.14653      | c00e0de1   | -2.21960    
220  | c0389375   | -2.88400     | 40b21ab4   | 5.56576     
221  | c0228573   | -2.53940     | c097bc91   | -4.74177    
222  | 3dd8af99   | 0.10580      | 41148214   | 9.28176     
223  | 3fd0986e   | 1.62965      | 4101aebc   | 8.10516     
224  | c05baf45   | -3.43257     | 3f2bd71c   | 0.67125     
225  | 3fd7e376   | 1.68663      | bf543202   | -0.82889    
226  | c12b4bac   | -10.70597    | 40a5e072   | 5.18365     
227  | 411e4c5f   | 9.89365      | bf483d12   | -0.78218    
228  | 40da754b   | 6.82682      | 3f8f093b   | 1.11747     
229  | 40102b0e   | 2.25263      | bfc8059e   | -1.56267    
230  | c085d27d   | -4.18194     | 40e19618   | 7.04957     
231  | c0cfc293   | -6.49250     | 403fadda   | 2.99499     
232  | 406fad7b   | 3.74496      | c0a3a49c   | -5.11384    
233  | 4011cc6b   | 2.27810      | 40c69843   | 6.20609     
234  | c0586ace   | -3.38152     | 4001a454   | 2.02565     
235  | 3fb0385c   | 1.37672      | 411356f6   | 9.20873     
236  | c02af674   | -2.67129     | 404c747e   | 3.19461     
237  | 3fb4d00f   | 1.41260      | be97c1c4   | -0.29640    
238  | bf8af7a0   | -1.08568     | 40f5bb5d   | 7.67912     
239  | c0b57272   | -5.67022     | 411c505b   | 9.76962     
240  | 404e834c   | 3.22676      | bc7e51e4   | -0.01552    
241  | 40636323   | 3.55293      | 3f58e19a   | 0.84719     
242  | 3fe660db   | 1.79983      | c03b6d83   | -2.92856    
243  | c02a9a78   | -2.66568     | 4097ed35   | 4.74771     
244  | bf9d82d6   | -1.23056     | 409a5084   | 4.82233     
245  | c045029e   | -3.07828     | c05f9db5   | -3.49400    
246  | bfd5b9c8   | -1.66973     | 4059e61c   | 3.40467     
247  | 40307b3e   | 2.75752      | 3fd6fb90   | 1.67955     
248  | 408052b7   | 4.01010      | 409a5522   | 4.82289     
249  | 3f8caceb   | 1.09903      | 40cd5804   | 6.41699     
250  | c0b83957   | -5.75700     | 41052dc4   | 8.32367     
251  | 40deabb8   | 6.95846      | 415387dc   | 13.22067    
252  | c232368d   | -44.55327    | c30b7878   | -139.47058  
253  | c0880103   | -4.25012     | c16ef982   | -14.93591   
254  | 4007a62c   | 2.11952      | c0df5d18   | -6.98011    
255  | 4090c64d   | 4.52421      | 3ebebb46   | 0.37252     
256  | c01c294d   | -2.44002     | bee4a6d7   | -0.44659    
257  | 3e02549c   | 0.12728      | c0134a86   | -2.30142    
258  | 402c0c3a   | 2.68825      | 3fc7bf1a   | 1.56052     
259  | c05c2047   | -3.43947     | 3f4a3fa7   | 0.79003     
260  | 3f50ed94   | 0.81613      | 4106f1f1   | 8.43407     
261  | bf3d3f80   | -0.73925     | c005a43e   | -2.08815    
262  | 3d760725   | 0.06007      | 4066bf03   | 3.60541     
263  | 40e79dd2   | 7.23802      | bf8007f3   | -1.00024    
264  | 3fbde4b1   | 1.48354      | c08cebe8   | -4.40380    
265  | bfcfb840   | -1.62281     | c0c6f5a8   | -6.21749    
266  | bfc8d171   | -1.56889     | bf3d0f74   | -0.73852    
267  | c03d2e5a   | -2.95595     | 40badeeb   | 5.83971     
268  | 3fac5da8   | 1.34661      | 3ee4a423   | 0.44656     
269  | c0a5a05d   | -5.17583     | c0104765   | -2.25436    
270  | 3fe335bd   | 1.77508      | 408a4d00   | 4.32190     
271  | c141955b   | -12.09896    | c121b594   | -10.10683   
272  | 40453abd   | 3.08171      | 3f8a677c   | 1.08128     
273  | 3e50ee58   | 0.20403      | bf83d034   | -1.02979    
274  | 3d95ef28   | 0.07321      | bf523c9f   | -0.82124    
275  | 3e34d0b7   | 0.17658      | 40b2cdc1   | 5.58762     
276  | c0225dc2   | -2.53697     | c0a83f15   | -5.25770    
277  | c02336f1   | -2.55023     | 407c8230   | 3.94545     
278  | c08dffde   | -4.43748     | 40deff01   | 6.96863     
279  | c0a76aab   | -5.23177     | 40ae2a5a   | 5.44267     
280  | c013ab51   | -2.30733     | 409751b1   | 4.72872     
281  | c11cb005   | -9.79297     | 3ef6cc44   | 0.48203     
282  | c06a10db   | -3.65728     | c04f5868   | -3.23977    
283  | 4052effb   | 3.29590      | 3fc60999   | 1.54717     
284  | bf9fbd76   | -1.24797     | 40db0027   | 6.84377     
285  | 40de7c61   | 6.95268      | c0a3d5ac   | -5.11983    
286  | 3e0f9cfd   | 0.14025      | c03047cc   | -2.75438    
287  | c0cc78f3   | -6.38976     | 40e51fca   | 7.16013     
288  | 3e4c48f5   | 0.19950      | 3e3fe18b   | 0.18738     
289  | 402d0a63   | 2.70376      | c069576e   | -3.64596    
290  | bfbe7741   | -1.48801     | 3e855385   | 0.26040     
291  | c0e66eeb   | -7.20104     | bf8b40fb   | -1.08792    
292  | bfb45d63   | -1.40910     | c009302d   | -2.14357    
293  | c00a816e   | -2.16415     | c0e86c30   | -7.26321    
294  | 40a61e13   | 5.19117      | 3d4023a6   | 0.04691     
295  | bfbd4918   | -1.47879     | 4032c130   | 2.79304     
296  | 4097f876   | 4.74908      | 3ff5f4aa   | 1.92153     
297  | 40287a44   | 2.63246      | c051ca83   | -3.27799    
298  | 409acb95   | 4.83735      | 408a60e1   | 4.32433     
299  | be663197   | -0.22480     | 4029a448   | 2.65065     
300  | 403627ae   | 2.84617      | 4129661a   | 10.58743    
301  | 3f977cd5   | 1.18350      | bf8fb389   | -1.12267    
302  | bfdb49c6   | -1.71319     | 3fe38cee   | 1.77774     
303  | bf90af88   | -1.13036     | 3e187d2c   | 0.14891     
304  | 40a91860   | 5.28423      | bf1de8b7   | -0.61683    
305  | 40d35a08   | 6.60474      | c0f0b1bb   | -7.52170    
306  | c0511422   | -3.26685     | 3ed1864c   | 0.40923     
307  | 4010d308   | 2.26288      | 3ff16616   | 1.88593     
308  | c0c21991   | -6.06562     | 402ac2e8   | 2.66815     
309  | 40b17b90   | 5.54633      | 402e6dac   | 2.72544     
310  | 3f6c5749   | 0.92321      | bea8b1ce   | -0.32948    
311  | c0ba5259   | -5.82255     | 41028b03   | 8.15894     
312  | 3fec2b9e   | 1.84508      | 3f8d76e7   | 1.10519     
313  | bfbe63b4   | -1.48742     | bfa2e430   | -1.27259    
314  | c0ac2a34   | -5.38015     | 4008905a   | 2.13381     
315  | c0cd9d51   | -6.42545     | c0e42e6d   | -7.13067    
316  | c11871ca   | -9.52778     | 3fd52e75   | 1.66548     
317  | c035196a   | -2.82968     | bd865022   | -0.06558    
318  | 4108af1a   | 8.54275      | bfae0e69   | -1.35981    
319  | 401db04d   | 2.46389      | 408344cb   | 4.10215     
320  | 4052ef6d   | 3.29586      | c03b5ad1   | -2.92742    
321  | 40d2d73e   | 6.58877      | 3f281eab   | 0.65672     
322  | c1000033   | -8.00005     | c0303a19   | -2.75355    
323  | 40d89468   | 6.76812      | c06ecea5   | -3.73136    
324  | bfb14fbb   | -1.38525     | 4092ae7f   | 4.58380     
325  | bf0a9117   | -0.54128     | 408e8ae7   | 4.45446     
326  | bf504a14   | -0.81363     | 40f7c4a3   | 7.74275     
327  | 4096aee9   | 4.70885      | 40a60188   | 5.18769     
328  | c0003889   | -2.00345     | c0010af5   | -2.01629    
329  | 4085c355   | 4.18009      | c108f9f3   | -8.56102    
330  | 40b6c126   | 5.71108      | 3fd15a7b   | 1.63557     
331  | bfa0f844   | -1.25758     | 40bf73a9   | 5.98287     
332  | 40ade6ca   | 5.43442      | 40505962   | 3.25546     
333  | c02567db   | -2.58446     | 40fa3f65   | 7.82024     
334  | bfc7ab92   | -1.55992     | bfee2b94   | -1.86070    
335  | 3fcddb0b   | 1.60825      | 410a3970   | 8.63902     
336  | 41113919   | 9.07644      | bfa04f0d   | -1.25241    
337  | c0f347d6   | -7.60252     | 40d116e9   | 6.53405     
338  | 4038bfb5   | 2.88670      | c06ff2c0   | -3.74919    
339  | c0867b81   | -4.20258     | c0610c1b   | -3.51636    
340  | c0327382   | -2.78830     | c0b99a77   | -5.80011    
341  | bee8f485   | -0.45499     | 410042e5   | 8.01633     
342  | 4102bb47   | 8.17072      | bfcff51a   | -1.62467    
343  | 40a9cdb3   | 5.30636      | c04008f4   | -3.00055    
344  | c0de758c   | -6.95185     | 40509627   | 3.25916     
345  | c048112e   | -3.12605     | 407b379a   | 3.92527     
346  | 3eff77ad   | 0.49896      | bfb01735   | -1.37571    
347  | bf04c53c   | -0.51863     | c08fc715   | -4.49305    
348  | 3fe7fb05   | 1.81235      | 40e234ca   | 7.06894     
349  | 3fd233dd   | 1.64221      | 40375d19   | 2.86506     
350  | 409fe49f   | 4.99666      | c0f7f98f   | -7.74921    
351  | c10a6c96   | -8.65151     | 404ac588   | 3.16831     
352  | 3fc0b3da   | 1.50549      | 40867a78   | 4.20245     
353  | c0751d41   | -3.82991     | 3f9fcb2a   | 1.24839     
354  | 40edeb2b   | 7.43496      | c105ed2d   | -8.37040    
355  | 4013afff   | 2.30762      | c1001b77   | -8.00671    
356  | c07e5d19   | -3.97443     | 402867ab   | 2.63133     
357  | bfbb24df   | -1.46206     | 3fbb2c53   | 1.46229     
358  | bf9753d0   | -1.18225     | 4038cb18   | 2.88740     
359  | 3fc65f5a   | 1.54978      | bfce1f4f   | -1.61033    
360  | bf0ed0c6   | -0.55787     | 4039cbbd   | 2.90306     
361  | 3f3f5c8b   | 0.74751      | bde5e47e   | -0.11225    
362  | 411e2599   | 9.88418      | 400e395d   | 2.22225     
363  | bf61da2f   | -0.88224     | 40889152   | 4.26774     
364  | 4118b495   | 9.54409      | be831921   | -0.25605    
365  | bfbf1657   | -1.49287     | bebaa0a2   | -0.36451    
366  | c06311ea   | -3.54797     | 409b7744   | 4.85831     
367  | 40098b31   | 2.14912      | 40a1de32   | 5.05837     
368  | 3f0742c1   | 0.52836      | c07c06f9   | -3.93793    
369  | 40263f47   | 2.59761      | c1052184   | -8.32068    
370  | c080dbfb   | -4.02685     | c0af7cbe   | -5.48398    
371  | bf02bab6   | -0.51066     | 400d7f7a   | 2.21091     
372  | bfae90e2   | -1.36380     | c0241ca3   | -2.56425    
373  | c01e1a13   | -2.47034     | c0c77a2a   | -6.23366    
374  | c0a19cf9   | -5.05041     | c10d14eb   | -8.81761    
375  | 4021d0c8   | 2.52837      | c018180e   | -2.37647    
376  | c1084284   | -8.51624     | 40d93843   | 6.78812     
377  | 3df03d58   | 0.11730      | c00fcfab   | -2.24705    
378  | c04eeb7c   | -3.23312     | c011820d   | -2.27356    
379  | bf91bd48   | -1.13859     | 41020374   | 8.12584     
380  | bee1daf6   | -0.44112     | c0e498b7   | -7.14364    
381  | 40b795c0   | 5.73703      | bf9b87c6   | -1.21508    
382  | c0bf347b   | -5.97516     | beca1b14   | -0.39474    
383  | c0875f05   | -4.23035     | c0168d36   | -2.35237    
384  | c058d59c   | -3.38804     | c0264045   | -2.59767    
385  | 409d0619   | 4.90699      | 4094843a   | 4.64114     
386  | c082719e   | -4.07637     | 3f70394d   | 0.93837     
387  | 40a3ce2d   | 5.11892      | 3ec00c17   | 0.37509     
388  | c0ab1620   | -5.34645     | 4030352a   | 2.75324     
389  | c0a5efed   | -5.18554     | c0e6805f   | -7.20317    
390  | c079016a   | -3.89071     | 3ea38d48   | 0.31944     
391  | c0ec568e   | -7.38557     | 4120b5e7   | 10.04441    
392  | be377c17   | -0.17918     | 410c291c   | 8.76004     
393  | 40b4d4d4   | 5.65098      | c0e91717   | -7.28407    
394  | 3fb251d3   | 1.39312      | 4064276e   | 3.56491     
395  | c0cf47bd   | -6.47751     | c0b84261   | -5.75810    
396  | 3eee8332   | 0.46584      | c0e03fb9   | -7.00778    
397  | c07c82b0   | -3.94548     | c06becb4   | -3.68632    
