Idx    | Gold_Re      | Gold_Im      | Core_Re      | Core_Im      | Diff         | Err(%)     | Note
1593   | 1.12253      | -9.57019     | 0.47888      | -9.77709     | 0.67608      | 7.02       | 
1594   | 6.07301      | -2.74158     | 5.51894      | -2.94771     | 0.59117      | 8.87       | 
1595   | -5.75262     | -6.97027     | -6.31810     | -7.18113     | 0.60352      | 6.68       | 
1596   | 3.35375      | -2.73353     | 2.80201      | -2.94643     | 0.59139      | 13.67      | HIGH_ERR
1597   | 0.69910      | -1.45298     | 0.89855      | -1.74035     | 0.34980      | 21.69      | HIGH_ERR
1598   | 3.63502      | -3.66679     | 3.08611      | -3.88634     | 0.59119      | 11.45      | HIGH_ERR
1599   | 2.43925      | 5.22440      | 1.99240      | 5.00976      | 0.49573      | 8.60       | 
1600   | -3.04106     | -4.47270     | -3.58735     | -4.69899     | 0.59131      | 10.93      | HIGH_ERR
1601   | 11.48903     | -6.00713     | 10.94404     | -6.23660     | 0.59132      | 4.56       | 
1602   | 2.38532      | -4.97195     | 1.84193      | -5.20494     | 0.59123      | 10.72      | HIGH_ERR
1603   | -3.78794     | -1.55032     | -4.32039     | -1.78465     | 0.58174      | 14.21      | HIGH_ERR
1604   | -5.44110     | -2.12514     | -5.98164     | -2.36484     | 0.59130      | 10.12      | HIGH_ERR
1605   | 3.35590      | -5.16916     | 3.24655      | -5.24516     | 0.13316      | 2.16       | 
1606   | -7.56712     | -0.50028     | -8.10449     | -0.74644     | 0.59107      | 7.79       | 
1607   | 2.76843      | 2.32176      | 2.40292      | 2.19897      | 0.38559      | 10.67      | HIGH_ERR
1608   | 1.56343      | 0.72278      | 1.02893      | 0.46995      | 0.59128      | 34.33      | HIGH_ERR
1609   | -3.88714     | 7.60883      | -4.44657     | 7.27447      | 0.65174      | 7.63       | 
1610   | -4.62422     | -5.46361     | -5.15570     | -5.72296     | 0.59138      | 8.26       | 
1611   | 3.50759      | 6.08368      | 3.14648      | 5.82761      | 0.44269      | 6.30       | 
1612   | -7.57094     | 3.16570      | -8.09918     | 2.89961      | 0.59147      | 7.21       | 
1613   | -1.68068     | 0.53901      | -2.85758     | 0.55454      | 1.17700      | 66.69      | HIGH_ERR
1614   | 2.42354      | 4.68870      | 1.89889      | 4.41640      | 0.59110      | 11.20      | HIGH_ERR
1615   | -2.31619     | -3.06805     | -2.89619     | -3.13420     | 0.58376      | 15.19      | HIGH_ERR
1616   | 6.76930      | 4.44735      | 6.24786      | 4.16867      | 0.59123      | 7.30       | 
1617   | 7.70146      | -5.40070     | 7.17448      | -5.59424     | 0.56140      | 5.97       | 
1618   | 3.92380      | -3.85274     | 3.40582      | -4.13777     | 0.59122      | 10.75      | HIGH_ERR
1619   | 0.61539      | -3.24119     | 0.15107      | -3.57661     | 0.57281      | 17.36      | HIGH_ERR
1620   | -2.13268     | 1.27580      | -2.64734     | 0.98432      | 0.59147      | 23.80      | HIGH_ERR
1621   | -0.39150     | 0.16764      | -0.78526     | -0.58489     | 0.84932      | 199.42     | HIGH_ERR
1622   | -4.11107     | 1.77953      | -4.62221     | 1.48166      | 0.59160      | 13.21      | HIGH_ERR
1623   | -3.33888     | 1.09494      | -3.78820     | 0.85664      | 0.50860      | 14.47      | HIGH_ERR
1624   | -5.94753     | -7.40614     | -6.45512     | -7.71009     | 0.59164      | 6.23       | 
1625   | -6.78300     | -4.22240     | -7.29356     | -4.53854     | 0.60052      | 7.52       | 
1626   | 3.68013      | -6.28388     | 3.17696      | -6.59421     | 0.59117      | 8.12       | 
1627   | 5.29938      | 1.51572      | 4.77276      | 1.17673      | 0.62629      | 11.36      | HIGH_ERR
1628   | -0.63960     | 0.32340      | -1.13916     | 0.00685      | 0.59141      | 82.52      | HIGH_ERR
1629   | -4.78210     | -8.23812     | -4.29336     | -8.63813     | 0.63157      | 6.63       | 
1630   | 4.75473      | -8.01703     | 4.25909      | -8.33936     | 0.59123      | 6.34       | 
1631   | -9.14645     | -1.06825     | -9.76830     | -0.98951     | 0.62681      | 6.81       | 
1632   | -3.61772     | 2.16667      | -4.10925     | 1.83816      | 0.59121      | 14.02      | HIGH_ERR
1633   | -0.31253     | 0.17447      | -0.80234     | -0.15706     | 0.59146      | 165.24     | HIGH_ERR
1634   | 2.19526      | -1.28512     | 1.70772      | -1.61934     | 0.59110      | 23.24      | HIGH_ERR
1635   | -2.05485     | 3.51156      | -2.55054     | 3.16524      | 0.60469      | 14.86      | HIGH_ERR
1636   | 0.24284      | -0.94516     | -0.24011     | -1.28525     | 0.59067      | 60.53      | HIGH_ERR
1637   | 3.90310      | 4.29832      | 3.81536      | 4.67006      | 0.38195      | 6.58       | 
1638   | 2.61188      | 6.24631      | 2.13449      | 5.90170      | 0.58877      | 8.70       | 
1639   | 2.38923      | -5.59934     | 1.37747      | -6.04900     | 1.10718      | 18.19      | HIGH_ERR
1640   | -8.01062     | -0.66181     | -8.48536     | -1.01382     | 0.59101      | 7.35       | 
1641   | 6.47957      | -3.29317     | 6.04407      | -3.62928     | 0.55012      | 7.57       | 
1642   | 8.96986      | 1.70662      | 8.49911      | 1.34874      | 0.59134      | 6.48       | 
1643   | -3.89992     | -5.52496     | -4.36881     | -5.68226     | 0.49457      | 7.31       | 
1644   | -0.44261     | 3.93271      | -0.90893     | 3.56892      | 0.59144      | 14.94      | HIGH_ERR
1645   | 9.18052      | 4.69248      | 9.61711      | 4.05836      | 0.76988      | 7.47       | 
1646   | -0.03403     | 3.57908      | -0.49554     | 3.20959      | 0.59120      | 16.52      | HIGH_ERR
1647   | 3.14369      | 2.68385      | 2.70645      | 1.95883      | 0.84666      | 20.48      | HIGH_ERR
1648   | 7.31257      | -2.87872     | 6.85533      | -3.25395     | 0.59150      | 7.53       | 
1649   | -4.11591     | 5.29538      | -4.64526     | 4.90366      | 0.65853      | 9.82       | 
1650   | -5.46513     | 2.53055      | -5.91746     | 2.14972      | 0.59130      | 9.82       | 
1651   | 0.70984      | -5.19096     | 0.29670      | -5.57527     | 0.56425      | 10.77      | HIGH_ERR
1652   | -5.28351     | -4.75266     | -5.73129     | -5.13873     | 0.59124      | 8.32       | 
1653   | 14.07595     | -6.08527     | 14.03851     | -5.71332     | 0.37383      | 2.44       | 
1654   | 3.12600      | 4.57951      | 2.68305      | 4.18774      | 0.59135      | 10.67      | HIGH_ERR
1655   | -0.84017     | 10.67418     | -1.04280     | 10.29679     | 0.42835      | 4.00       | 
1656   | -1.40467     | -4.77156     | -1.84273     | -5.16848     | 0.59114      | 11.88      | HIGH_ERR
1657   | -4.66924     | -1.13782     | -5.23725     | -1.59218     | 0.72737      | 15.14      | HIGH_ERR
1658   | -2.50537     | 2.25877      | -2.93841     | 1.85616      | 0.59129      | 17.53      | HIGH_ERR
1659   | 9.24320      | 10.61898     | 8.84809      | 10.20581     | 0.57169      | 4.06       | 
1660   | 0.59227      | 0.06102      | 0.16424      | -0.34697     | 0.59132      | 99.31      | HIGH_ERR
1661   | 8.68543      | 2.43205      | 7.78735      | 2.66635      | 0.92814      | 10.29      | HIGH_ERR
1662   | -2.33349     | -3.68577     | -2.75673     | -4.09871     | 0.59132      | 13.55      | HIGH_ERR
1663   | 3.52547      | 6.36046      | 3.14897      | 6.02844      | 0.50198      | 6.90       | 
1664   | 6.68506      | 8.87421      | 6.26701      | 8.45601      | 0.59131      | 5.32       | 
1665   | -0.17904     | 5.08321      | -0.59438     | 4.66254      | 0.59116      | 11.62      | HIGH_ERR
1666   | -0.55909     | 7.15126      | -0.97201     | 6.72800      | 0.59131      | 8.24       | 
1667   | -0.23115     | -1.47547     | -0.64777     | -1.91308     | 0.60422      | 40.46      | HIGH_ERR
1668   | 9.60027      | -0.50045     | 9.19215      | -0.92808     | 0.59113      | 6.15       | 
1669   | 4.23288      | 1.90542      | 3.06971      | 1.43379      | 1.25515      | 27.04      | HIGH_ERR
1670   | 1.88656      | 9.22615      | 1.48403      | 8.79299      | 0.59132      | 6.28       | 
1671   | 6.03098      | 2.10128      | 5.60500      | 1.62292      | 0.64055      | 10.03      | HIGH_ERR
1672   | -4.78561     | -1.60685     | -5.18256     | -2.04509     | 0.59129      | 11.71      | HIGH_ERR
1673   | -0.80380     | -0.13096     | -1.20853     | -0.59119     | 0.61288      | 75.26      | HIGH_ERR
1674   | 4.05268      | -7.00273     | 3.66094      | -7.44547     | 0.59117      | 7.31       | 
1675   | -4.56813     | -0.79716     | -4.92222     | -1.17463     | 0.51755      | 11.16      | HIGH_ERR
1676   | 8.25465      | 1.78999      | 7.86817      | 1.34240      | 0.59135      | 7.00       | 
1677   | -7.09556     | -1.47053     | -8.26118     | -1.36736     | 1.17018      | 16.15      | HIGH_ERR
1678   | 5.34638      | 2.02507      | 4.96589      | 1.57241      | 0.59133      | 10.34      | HIGH_ERR
1679   | 6.69341      | 1.06922      | 6.43687      | 0.53681      | 0.59099      | 8.72       | 
1680   | -0.45092     | -2.98660     | -0.82603     | -3.44368     | 0.59129      | 19.58      | HIGH_ERR
1681   | 0.86136      | 2.36212      | 0.45819      | 1.89601      | 0.61629      | 24.51      | HIGH_ERR
1682   | 4.41290      | -0.74356     | 4.04331      | -1.20542     | 0.59153      | 13.22      | HIGH_ERR
1683   | -3.11873     | -3.78353     | -3.44252     | -4.26829     | 0.58295      | 11.89      | HIGH_ERR
1684   | 4.85213      | -1.22338     | 4.48822      | -1.68965     | 0.59147      | 11.82      | HIGH_ERR
1685   | -3.29484     | -0.14225     | -3.31539     | -0.80469     | 0.66276      | 20.10      | HIGH_ERR
1686   | 4.67956      | 3.10254      | 4.32127      | 2.63198      | 0.59144      | 10.53      | HIGH_ERR
1687   | -0.43660     | 1.06111      | -0.79867     | 0.82425      | 0.43266      | 37.71      | HIGH_ERR
1688   | -0.48406     | -5.48126     | -0.83595     | -5.95630     | 0.59117      | 10.74      | HIGH_ERR
1689   | 1.43913      | 12.62669     | 1.17376      | 12.07240     | 0.61454      | 4.84       | 
1690   | -0.10988     | 1.62280      | -0.45773     | 1.14322      | 0.59245      | 36.42      | HIGH_ERR
1691   | 0.86218      | -5.28000     | 0.52091      | -5.73605     | 0.56961      | 10.65      | HIGH_ERR
1692   | -4.36506     | -3.28423     | -4.70547     | -3.76755     | 0.59116      | 10.82      | HIGH_ERR
1693   | -0.67280     | 3.89924      | -1.09433     | 3.48960      | 0.58779      | 14.86      | HIGH_ERR
1694   | -12.53047    | 5.96668      | -12.86468    | 5.47946      | 0.59084      | 4.26       | 
1695   | 3.73671      | -3.17335     | 3.28937      | -3.68042     | 0.67619      | 13.79      | HIGH_ERR
1696   | -0.60202     | 0.75428      | -0.93067     | 0.26257      | 0.59143      | 61.28      | HIGH_ERR
1697   | 5.26052      | 1.24083      | 4.93493      | 0.74700      | 0.59149      | 10.94      | HIGH_ERR
1698   | -3.12707     | 3.95546      | -3.44946     | 3.45986      | 0.59123      | 11.73      | HIGH_ERR
1699   | 3.35995      | 1.48172      | 3.03226      | 0.98858      | 0.59209      | 16.12      | HIGH_ERR
1700   | 12.86475     | 2.39684      | 12.54802     | 1.89753      | 0.59130      | 4.52       | 
1701   | -8.06191     | 3.00638      | -7.85721     | 1.58878      | 1.43230      | 16.65      | HIGH_ERR
1702   | 1.17223      | 1.03485      | 0.86219      | 0.53154      | 0.59114      | 37.80      | HIGH_ERR
1703   | -0.00925     | 2.23602      | -0.19652     | 1.75811      | 0.51329      | 22.96      | HIGH_ERR
1704   | -1.97120     | -3.71266     | -2.27513     | -4.21986     | 0.59128      | 14.07      | HIGH_ERR
1705   | 1.71294      | -3.34993     | 1.45532      | -3.84685     | 0.55973      | 14.88      | HIGH_ERR
